"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SHASTA","Total","    1579.283868","    1534.686803","    1569.514407","    1576.363900","    1556.637013","    1563.073893","    1545.194235","    1549.200341","    1536.262043","    1524.296663","    1526.292225","    1567.249512","    1604.386329","    1617.095742","    1614.336645","    1575.953241","    1724.817313","    1646.325570","    1613.369379","    1523.848021","    1564.419344","    1517.423296","    1531.147068","    1545.436645","    1509.867411","    1541.032720","    1486.385195","    1499.101455","    1569.497297","    1559.671174","    1520.621566","   48392.790314"
"SIERRA","Total","      22.252775","      21.994719","      21.104602","      21.909065","      25.944995","      24.136873","      23.685875","      23.540105","      23.580870","      23.403158","      23.703723","      24.429464","      25.103294","      28.233793","      23.861214","      25.123247","      24.618691","      34.984964","      32.167858","      35.542103","      22.743712","      22.934518","      23.083401","      22.296488","      22.388548","      22.570062","      22.065750","      17.888245","      15.842939","      23.368664","      23.887409","     748.391124"
"SISKIYOU","Total","     520.602374","     496.096868","     495.566810","     508.713215","     492.754667","     494.539507","     485.511300","     500.435010","     486.121229","     499.966632","     501.507275","     517.586438","     541.548458","     563.222686","     514.210300","     509.922492","     518.666582","     509.408268","     501.942639","     482.589764","     456.660257","     461.670783","     432.097285","     450.856727","     523.153340","     459.568480","     447.406109","     456.379116","     460.129633","     457.377559","     463.911027","   15210.122830"
"SOLANO","Total","    3320.792693","    3223.393691","    3255.834667","    3212.945878","    3212.116954","    3210.692623","    3216.664509","    3226.690235","    3191.704533","    3121.055545","    3060.467992","    3172.527351","    3175.824707","    3339.708063","    3165.146932","    3120.039523","    3053.546669","    2963.162371","    2857.421149","    2786.770503","    3003.711893","    2961.030157","    2695.884986","    2582.677606","    2584.818623","    2556.839267","    2557.923851","    2529.080236","    2537.302686","    2487.587024","    2640.925459","   92024.288376"
"SONOMA","Total","    2867.655443","    2892.073124","    2929.858054","    3022.427058","    2962.083841","    2947.421321","    2952.333048","    2980.590273","    2937.792738","    2901.247255","    2880.890716","    2855.752467","    2943.908994","    2918.722451","    2863.136191","    2748.300722","    2862.025010","    2753.564658","    2768.377633","    2634.870939","    2851.840811","    2739.026762","    2579.861923","    2544.533434","    2458.186794","    2356.439200","    2322.685965","    2312.159188","    2262.892118","    2210.253469","    2227.798222","   84488.709822"
"STANISLAUS","Total","    5055.970952","    4762.820817","    4809.018572","    4869.155322","    4754.758342","    4754.170838","    4746.175342","    4672.656641","    4653.293430","    4467.571765","    4416.998815","    4563.732094","    4677.524001","    4659.316482","    4761.442542","    4627.795882","    4497.914206","    4499.549385","    4358.474406","    4134.094504","    4244.133970","    4080.812932","    3993.592931","    3839.909898","    3778.333732","    3577.477421","    3539.102124","    3406.758180","    3561.054646","    3604.274334","    3413.683605","  133781.568111"
"SUTTER","Total","     672.551697","     636.606549","     636.643617","     646.434323","     631.002716","     647.113384","     649.223855","     647.621635","     635.569302","     612.942878","     599.853592","     625.505459","     628.832644","     621.047899","     627.011420","     568.940653","     564.254790","     541.636526","     538.535310","     520.832998","     540.658491","     522.881712","     496.037019","     502.754816","     492.259516","     468.815044","     472.759586","     456.858867","     453.614728","     436.397429","     429.461952","   17524.660407"
"TEHAMA","Total","     536.048829","     509.351797","     507.626848","     518.710250","     497.407480","     496.845403","     493.225680","     507.355761","     506.185177","     493.056480","     485.970680","     501.934637","     509.084003","     508.584463","     476.788371","     452.295569","     462.703576","     444.665577","     403.903545","     492.162080","     487.963951","     484.238028","     457.554990","     464.118562","     453.241319","     436.337209","     430.392864","     417.971760","     416.302683","     410.171236","     419.991809","   14682.190617"
"TRINITY","Total","     149.610149","     134.923613","     130.482588","     137.282870","     128.565198","     111.156772","     117.689096","     119.388326","     111.923731","     121.055581","      88.636060","      93.614467","      12.384944","      11.402509","      71.331277","      72.082278","      15.351407","      23.553851","      23.034470","       9.762866","      10.348639","      10.374431","       9.706855","      10.202311","      10.216828","      10.048588","      10.112048","      23.705185","      35.354918","      36.874063","      36.393096","    1886.569015"
"TULARE","Total","    4642.806091","    4249.136420","    4438.021320","    4243.881329","    4363.195956","    4477.117615","    4492.364880","    4316.699850","    4163.266527","    3746.708773","    3816.445944","    3979.723830","    3922.121427","    3770.831517","    3690.806516","    3361.552985","    3337.280085","    3254.886366","    3466.521152","    3296.777836","    3345.251455","    3197.388192","    2604.626362","    2728.979352","    2653.713470","    2479.983709","    2581.896404","    2423.992211","    2596.442000","    2528.667805","    2576.692790","  108747.780169"
"TUOLUMNE","Total","     459.344034","     451.979355","     453.417136","     460.751763","     447.778904","     442.015743","     440.433912","     460.821120","     454.090597","     445.780380","     434.921101","     446.965063","     428.141731","     433.738863","     722.525835","     475.004328","     440.665328","     412.434298","     427.098595","     417.392923","     454.589373","     435.987509","     425.662893","     380.866502","     353.895899","     398.475991","     424.178536","     455.243558","     434.891116","     434.914659","     431.403327","   13785.410372"
"VENTURA","Total","    5461.932402","    5462.681670","    5447.248216","    5509.691952","    5455.956888","    5591.528240","    5486.723476","    5398.129049","    5522.205781","    5470.752747","    5451.650135","    5586.940402","    5917.947485","    5696.279468","    5690.731308","    5648.822120","    5577.008556","    5339.520716","    5578.337627","    5164.891008","    5872.704785","    5370.725471","    4992.561183","    4868.185675","    4661.855835","    4555.679880","    4527.004183","    4440.003169","    4400.914947","    4411.269730","    4490.108507","  163049.992611"
"YOLO","Total","    1791.089331","    1734.948050","    1718.051399","    1745.975918","    1705.951022","    1702.402184","    1739.136266","    1702.931637","    1676.338168","    1649.191404","    1598.835046","    1679.227147","    1620.193145","    1629.373785","    1712.818134","    1698.015409","    1526.668597","    1420.687292","    1514.432772","    1352.668850","    1457.607861","    1563.313483","    1322.734405","    1292.596253","    1286.933847","    1217.715606","    1219.551720","    1188.631157","    1146.895251","    1138.348147","    1141.738534","   46895.001820"
"YUBA","Total","     567.007959","     512.281946","     504.468917","     506.045547","     482.458745","     479.063382","     488.657485","     489.417583","     481.368553","     471.374254","     465.318176","     512.395929","     463.384378","     475.190941","     533.136962","     518.110696","     462.542968","     364.940192","     611.634131","     497.273616","     505.537021","     613.997052","     442.704047","     437.852811","     454.685259","     423.644993","     445.397045","     430.521181","     464.585537","     463.490868","     448.122147","   15016.610321"
